GENESIS-Tabelle: 71211-0007
Steuereinnahmen: Bundesländer, Quartale, Steuerarten vor der;;;;;;;;;;;;;;;;;;
Steuerverteilung;;;;;;;;;;;;;;;;;;
Statistik über das Steueraufkommen;;;;;;;;;;;;;;;;;;
Steuereinnahmen (Tsd. EUR);;;;;;;;;;;;;;;;;;
;;2008;2008;2008;2008;2009;2009;2009;2009;2010;2010;2010;2010;2011;2011;2011;2011;2012
;;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal
Bayern;Totalisatorsteuer;296;442;445;347;184;278;419;161;50;83;136;963;200;176;560;262;125
Bayern;Andere Rennwettsteuer;-;-;0;-;-;-;0;-;0;0;0;-;23;-;-;-;-
Bayern;Lotteriesteuer;70218;49588;58455;38305;68369;51805;48753;55056;54311;42848;55272;50155;52628;55220;44993;52019;51568
Bayern;Feuerschutzsteuer;28675;2742;3741;17412;24423;8365;3602;15915;23591;15340;7381;11800;28381;16097;10783;11897;29703
Bayern;Biersteuer;36153;40185;45463;37347;33292;40994;45353;37601;32636;39239;44553;35652;31538;40325;42518;37558;31686
Bayern;Sonstige Landessteuern;-;-;-;-;-;-;0;-;0;0;0;-;-;-;-;-;-
Bayern;Gemeindesteuern;2080434;2339337;2216307;1931991;1797600;2039879;1750128;1711557;1540188;2230571;2125426;2030172;1973588;2532416;2183156;2417897;2270943
Bayern;Grundsteuer A (Land- und Forstwirtschaft);19228;19172;24811;18281;19200;20893;23274;18253;19219;21835;22872;19211;19531;22198;23194;18708;20169
Bayern;Grundsteuer B (Sonstige Grundstücke);323425;390534;414917;325537;329600;413209;408188;334684;336623;428653;411282;366391;351409;439715;428907;346375;362098
Bayern;Gewerbesteuer (brutto);1712894;1915856;1769652;1584638;1423600;1593559;1312275;1355530;1158537;1767599;1684879;1641169;1575539;2057622;1725012;2050554;1861351
Bayern;Sonstige Steuern;24889;13775;6926;3535;25200;12218;6391;3090;25809;12484;6393;3401;27109;12881;6043;2260;27325
Berlin;Lohnsteuer;1097816;1090060;1055988;1326595;1188985;997261;1058355;1281563;1078142;1012200;988979;1217074;1136708;1090975;1079454;1319700;1177712
Berlin;Veranlagte Einkommensteuer;287882;302784;228224;301727;165404;309477;201702;286149;353165;396193;230477;290913;411725;345258;256724;308081;386998
Berlin;Nicht veranlagte Steuern vom Ertrag;148472;32475;125944;149484;54799;49810;29731;63668;414685;82540;63994;51088;200916;68095;78596;136534;76715
Berlin;Abgeltungssteuer;107724;82071;92558;89551;131322;82112;81406;79097;88118;63272;54672;57199;65746;51204;50273;54479;70678
Berlin;Körperschaftsteuer;219678;237703;15877;117759;286237;59862;50853;44588;203039;126297;69852;212746;171020;182733;-10625;340016;201038
Berlin;Umsatzsteuer;1356962;1122820;1337965;1341680;1441386;1182029;1294440;1397554;1362770;1588038;1413452;1566470;1625310;1236214;1267846;1233315;1328913
Berlin;Landessteuern;237924;287532;213581;178121;176899;182421;137516;148459;150705;145950;170528;177879;171164;188648;187296;187110;222298
Berlin;Vermögensteuer;18;28;-107;-133;-549;56;58;-18;124;0;-8;10;5;-1;-7;-;-5
Berlin;Erbschaftsteuer;-4903;63178;36676;36020;29478;42227;33263;48860;50339;48717;40243;36734;36096;47771;43749;45255;53773
Berlin;Grunderwerbsteuer;166712;146683;110398;76809;67817;71733;85456;79510;80010;78678;113005;122072;114547;120417;125350;124210;146473
Berlin;Kraftfahrzeugsteuer (Land);58416;55357;46566;46566;56696;48587;0;-;-;-;-;-;-;-;-;-;-
Berlin;Totalisatorsteuer;344;359;600;391;413;407;607;0;269;340;599;284;255;255;615;264;244
Berlin;Andere Rennwettsteuer;0;0;-;-;-;-;0;-;0;0;0;-;-;-;-;-;-
Berlin;Lotteriesteuer;10757;14106;11795;12842;16574;10806;11323;13923;13460;11454;11063;13234;12008;12925;11787;11895;13248
Berlin;Feuerschutzsteuer;2426;3545;1843;1658;2840;4220;2360;2067;3207;2677;1343;2148;5165;3410;1998;2204;5504
Berlin;Biersteuer;4153;4276;4690;3968;3631;4385;4450;3765;3298;4085;4283;3397;3088;3869;3804;3281;3061
Berlin;Sonstige Landessteuern;-;-;-;-;-;-;0;-;0;0;0;-;-;-;-;-;-
Berlin;Gemeindesteuern;467972;475650;545203;419877;425093;369787;514122;413747;460332;514730;525032;500923;483134;534940;536610;493085;470545
Berlin;Grundsteuer A (Land- und Forstwirtschaft);16;18;26;16;17;18;28;17;15;17;24;15;15;16;24;15;17
Berlin;Grundsteuer B (Sonstige Grundstücke);150258;171501;245286;151089;154296;167309;256813;157336;161832;174605;251665;159136;165694;174287;256073;164986;159630
Berlin;Gewerbesteuer (brutto);313205;298610;293338;263414;264921;196622;249857;250334;291754;332901;264753;334234;308322;350206;268789;317392;298970
Berlin;Sonstige Steuern;4494;5521;6553;5358;5859;5838;7424;6060;6731;7206;8590;7538;11087;12195;11725;10692;11928
Brandenburg;Lohnsteuer;379043;360068;409747;516603;407121;293383;431934;519672;357686;316814;381093;489371;394765;349660;428836;559971;428694
